corpus_position,source_row_abs,EID_o_identificador,insumo_row,record_chars
23,23,2-s2.0-8644233363,23,1513
52,52,2-s2.0-0034542419,52,928
59,59,2-s2.0-0034472448,59,898
66,66,2-s2.0-0033872249,66,1976
74,74,2-s2.0-0034718890,74,291
76,76,2-s2.0-0034644591,76,361
111,111,2-s2.0-0041034794,111,1219
112,112,2-s2.0-3042640043,112,727
115,115,2-s2.0-23944498915,115,1281
161,161,2-s2.0-52849125488,161,882
165,165,2-s2.0-4544259846,165,2152
183,183,2-s2.0-23044524645,183,1192
185,185,2-s2.0-23044523455,185,1348
213,213,2-s2.0-0042349739,213,1398
218,218,2-s2.0-0040442261,218,1578
227,227,2-s2.0-0034720977,227,447
232,232,2-s2.0-0034550207,232,1403
239,239,2-s2.0-0034366629,239,1137
247,247,2-s2.0-0034338990,247,1491
270,270,2-s2.0-0033909073,270,1838
296,296,2-s2.0-0011969908,296,1571
303,303,2-s2.0-0001033861,303,1767
306,306,2-s2.0-0035977440,306,1827
308,308,2-s2.0-8744318257,308,1606
318,318,2-s2.0-8744304593,318,1145
322,322,2-s2.0-8744301797,322,1201
327,327,2-s2.0-8744293337,327,980
335,335,2-s2.0-8744275073,335,1640
336,336,2-s2.0-8744273767,336,1083
341,341,2-s2.0-8744259517,341,2070
367,367,2-s2.0-52549121985,367,1119
374,374,2-s2.0-3242722248,374,524
378,378,2-s2.0-0347412238,378,1476
382,382,2-s2.0-0035786043,382,1064
385,385,2-s2.0-0035745072,385,1045
387,387,2-s2.0-0035693825,387,1142
390,390,2-s2.0-0035687905,390,1378
396,396,2-s2.0-0035569964,396,1365
414,414,2-s2.0-0034847153,414,2249
421,421,2-s2.0-0034932636,421,2926
434,434,2-s2.0-0013145664,434,847
437,437,2-s2.0-4043104065,437,2042
439,439,2-s2.0-0041870769,439,1382
485,485,2-s2.0-84992829366,485,304
491,491,2-s2.0-84943261996,491,1965
493,493,2-s2.0-84926254016,493,770
521,521,2-s2.0-52549130765,521,1802
527,527,2-s2.0-4243062315,527,779
531,531,2-s2.0-34249805880,531,2448
539,539,2-s2.0-3042789650,539,1469
541,541,2-s2.0-27944457920,541,1351
561,561,2-s2.0-17544400786,561,6876
569,569,2-s2.0-0042860225,569,874
577,577,2-s2.0-0038775899,577,1286
582,582,2-s2.0-0035784025,582,410
595,595,2-s2.0-0035584559,595,1643
601,601,2-s2.0-0035537037,601,1031
615,615,2-s2.0-0035419834,615,1049
622,622,2-s2.0-0035359369,622,342
640,640,2-s2.0-0035197640,640,1690
666,666,2-s2.0-0012584908,666,1560
676,676,2-s2.0-8744299250,676,2038
689,689,2-s2.0-8744273829,689,878
693,693,2-s2.0-8744263741,693,1507
704,704,2-s2.0-8744244174,704,1060
717,717,2-s2.0-8744225475,717,1355
723,723,2-s2.0-84891688754,723,1084
725,725,2-s2.0-84867309958,725,1205
731,731,2-s2.0-4944260278,731,1913
743,743,2-s2.0-18644378474,743,864
746,746,2-s2.0-18344365029,746,1272
748,748,2-s2.0-1642634543,748,1038
756,756,2-s2.0-0037005010,756,2967
768,768,2-s2.0-0036954087,768,968
771,771,2-s2.0-0036949797,771,800
814,814,2-s2.0-0036677618,814,1252
818,818,2-s2.0-0037118764,818,1132
824,824,2-s2.0-0036048755,824,905
826,826,2-s2.0-85024256291,826,1815
829,829,2-s2.0-0036622041,829,1004
831,831,2-s2.0-0037165998,831,459
835,835,2-s2.0-3843123555,835,1906
837,837,2-s2.0-0036573193,837,2101
845,845,2-s2.0-5644287669,845,1446
846,846,2-s2.0-33748756973,846,1713
859,859,2-s2.0-85159674904,859,934
862,862,2-s2.0-85071344093,862,5338
867,867,2-s2.0-85066182537,867,1314
870,870,2-s2.0-85064783246,870,906
886,886,2-s2.0-84992905091,886,1043
887,887,2-s2.0-84992889684,887,1861
891,891,2-s2.0-84964542781,891,1309
893,893,2-s2.0-84964510444,893,1967
917,917,2-s2.0-84874996098,917,704
919,919,2-s2.0-84867354030,919,971
920,920,2-s2.0-84867325316,920,992
941,941,2-s2.0-52649103513,941,1660
946,946,2-s2.0-4043144146,946,958
952,952,2-s2.0-34249886545,952,2432
956,956,2-s2.0-33846172094,956,1285
974,974,2-s2.0-23844483226,974,1592
985,985,2-s2.0-0345424649,985,1342
988,988,2-s2.0-0039486304,988,1102
990,990,2-s2.0-0038075789,990,1274
1030,1030,2-s2.0-0036466635,1030,876
1033,1033,2-s2.0-0036459730,1033,289
1036,1036,2-s2.0-0036428502,1036,1458
1038,1038,2-s2.0-0036375343,1038,2684
1039,1039,2-s2.0-0036375341,1039,418
1048,1048,2-s2.0-0036138135,1048,1162
1055,1055,2-s2.0-0036060734,1055,1658
1101,1101,2-s2.0-8744297313,1101,1764
1104,1104,2-s2.0-8744293845,1104,1366
1118,1118,2-s2.0-8744259925,1118,1113
1123,1123,2-s2.0-8744254700,1123,2270
1140,1140,2-s2.0-8744235074,1140,1101
1144,1144,2-s2.0-8744229030,1144,2251
1155,1155,2-s2.0-84882725697,1155,1949
1171,1171,2-s2.0-3843082912,1171,420
1188,1188,2-s2.0-20844450050,1188,1753
1191,1191,2-s2.0-18844432170,1191,1378
1198,1198,2-s2.0-1642560805,1198,1560
1204,1204,2-s2.0-1642479278,1204,1734
1207,1207,2-s2.0-1642438967,1207,1629
1218,1218,2-s2.0-1642436738,1218,1270
1222,1222,2-s2.0-1542516767,1222,1383
1227,1227,2-s2.0-1542400655,1227,1255
1232,1232,2-s2.0-0942288965,1232,1161
1234,1234,2-s2.0-0346640232,1234,869
1250,1250,2-s2.0-0142007804,1250,675
1263,1263,2-s2.0-0141869020,1263,586
1276,1276,2-s2.0-85020225363,1276,510
1286,1286,2-s2.0-0142124888,1286,2024
1288,1288,2-s2.0-0141595314,1288,1023
1289,1289,2-s2.0-0141567814,1289,1872
1301,1301,2-s2.0-0037929563,1301,834
1307,1307,2-s2.0-84906041934,1307,296
1316,1316,2-s2.0-0038710923,1316,1215
1333,1333,2-s2.0-4544257401,1333,1126
1337,1337,2-s2.0-0037235674,1337,1152
1339,1339,2-s2.0-60949629822,1339,214
1343,1343,2-s2.0-0038544502,1343,569
1344,1344,2-s2.0-0037630373,1344,1725
1349,1349,2-s2.0-0037361643,1349,2582
