source_row_abs,EID_o_identificador,parsed_keyword_count,clean_keyword_count,included_in_reference_corpus,exclusion_reason
0,2-s2.0-0033669846,5,5,True,
1,2-s2.0-0033660524,5,5,True,
2,2-s2.0-0033653172,5,5,True,
3,2-s2.0-0033653169,5,5,True,
4,2-s2.0-0033652463,5,5,True,
5,2-s2.0-0033646769,5,5,True,
6,2-s2.0-0034623828,5,5,True,
7,2-s2.0-8644291002,5,5,True,
8,2-s2.0-8644285431,5,5,True,
9,2-s2.0-8644280479,5,5,True,
10,2-s2.0-8644277146,5,5,True,
11,2-s2.0-8644274687,5,5,True,
12,2-s2.0-8644274072,5,5,True,
13,2-s2.0-8644271674,5,5,True,
14,2-s2.0-8644265989,5,5,True,
15,2-s2.0-8644261519,5,5,True,
16,2-s2.0-8644260091,5,5,True,
17,2-s2.0-8644252721,5,5,True,
18,2-s2.0-8644250535,5,5,True,
19,2-s2.0-8644249814,5,5,True,
20,2-s2.0-8644246700,5,5,True,
21,2-s2.0-8644243858,5,5,True,
22,2-s2.0-8644241742,5,5,True,
23,2-s2.0-8644233363,5,5,True,
24,2-s2.0-8644224928,5,5,True,
25,2-s2.0-8644223322,4,4,True,
26,2-s2.0-8644220516,5,5,True,
27,2-s2.0-8644219628,5,5,True,
28,2-s2.0-85181224824,5,5,True,
29,2-s2.0-85065364308,5,5,True,
30,2-s2.0-85040416124,5,5,True,
31,2-s2.0-85007591202,5,5,True,
32,2-s2.0-84893628559,5,5,True,
33,2-s2.0-84893412380,5,5,True,
34,2-s2.0-84867432310,5,5,True,
35,2-s2.0-84861099311,5,5,True,
36,2-s2.0-79959734206,5,5,True,
37,2-s2.0-79953050978,5,5,True,
38,2-s2.0-79951828623,5,5,True,
39,2-s2.0-61149708367,5,5,True,
40,2-s2.0-3943084162,5,5,True,
41,2-s2.0-37549002580,5,5,True,
42,2-s2.0-33749127669,5,5,True,
43,2-s2.0-3242785671,5,5,True,
44,2-s2.0-28944455653,5,5,True,
45,2-s2.0-23044520334,5,5,True,
46,2-s2.0-1842637776,5,5,True,
47,2-s2.0-17044444083,5,5,True,
48,2-s2.0-1642312610,5,5,True,
49,2-s2.0-1542272649,5,5,True,
50,2-s2.0-0346383936,5,5,True,
51,2-s2.0-0034546460,5,5,True,
52,2-s2.0-0034542419,5,5,True,
53,2-s2.0-0034511382,5,5,True,
54,2-s2.0-0034480208,5,5,True,
55,2-s2.0-0034474519,5,5,True,
56,2-s2.0-0034474311,5,5,True,
57,2-s2.0-0034474051,5,5,True,
58,2-s2.0-0034473636,5,5,True,
59,2-s2.0-0034472448,5,5,True,
60,2-s2.0-0034471187,5,5,True,
61,2-s2.0-0034471117,5,5,True,
62,2-s2.0-0034470904,5,5,True,
63,2-s2.0-0034470860,5,5,True,
64,2-s2.0-0034470794,5,5,True,
65,2-s2.0-0034429301,5,5,True,
66,2-s2.0-0033872249,5,5,True,
67,2-s2.0-0010775015,5,5,True,
68,2-s2.0-0034634359,5,5,True,
69,2-s2.0-0033782866,5,5,True,
70,2-s2.0-85167397859,5,5,True,
71,2-s2.0-33751240543,5,5,True,
72,2-s2.0-0034317510,5,5,True,
73,2-s2.0-0034718894,5,5,True,
74,2-s2.0-0034718890,5,5,True,
75,2-s2.0-0034644641,5,5,True,
76,2-s2.0-0034644591,5,5,True,
77,2-s2.0-0034644566,5,5,True,
78,2-s2.0-0005041723,5,5,True,
79,2-s2.0-79951830040,5,5,True,
80,2-s2.0-34547439522,5,5,True,
81,2-s2.0-0037995948,5,5,True,
82,2-s2.0-0034302751,5,5,True,
83,2-s2.0-0013238159,5,5,True,
84,2-s2.0-0033824067,5,5,True,
85,2-s2.0-85181189739,5,5,True,
86,2-s2.0-3042664045,5,5,True,
87,2-s2.0-20444489467,5,5,True,
88,2-s2.0-0346123728,5,5,True,
89,2-s2.0-0034284969,5,5,True,
90,2-s2.0-84952651568,5,5,True,
91,2-s2.0-85164500141,5,5,True,
