corpus_position,source_row_abs,EID_o_identificador
2,2,2-s2.0-0033653172
5,5,2-s2.0-0033646769
6,6,2-s2.0-0034623828
10,10,2-s2.0-8644277146
14,14,2-s2.0-8644265989
15,15,2-s2.0-8644261519
16,16,2-s2.0-8644260091
17,17,2-s2.0-8644252721
18,18,2-s2.0-8644250535
20,20,2-s2.0-8644246700
21,21,2-s2.0-8644243858
22,22,2-s2.0-8644241742
23,23,2-s2.0-8644233363
25,25,2-s2.0-8644223322
26,26,2-s2.0-8644220516
30,30,2-s2.0-85040416124
33,33,2-s2.0-84893412380
36,36,2-s2.0-79959734206
37,37,2-s2.0-79953050978
42,42,2-s2.0-33749127669
43,43,2-s2.0-3242785671
45,45,2-s2.0-23044520334
47,47,2-s2.0-17044444083
50,50,2-s2.0-0346383936
51,51,2-s2.0-0034546460
52,52,2-s2.0-0034542419
53,53,2-s2.0-0034511382
55,55,2-s2.0-0034474519
57,57,2-s2.0-0034474051
59,59,2-s2.0-0034472448
62,62,2-s2.0-0034470904
65,65,2-s2.0-0034429301
66,66,2-s2.0-0033872249
69,69,2-s2.0-0033782866
71,71,2-s2.0-33751240543
73,73,2-s2.0-0034718894
83,83,2-s2.0-0013238159
85,85,2-s2.0-85181189739
90,90,2-s2.0-84952651568
92,92,2-s2.0-85007838156
93,93,2-s2.0-1542610676
98,98,2-s2.0-0034607969
99,99,2-s2.0-0011939734
102,102,2-s2.0-3042529073
104,104,2-s2.0-0034171702
105,105,2-s2.0-0010838586
106,106,2-s2.0-84937047204
110,110,2-s2.0-0342955492
111,111,2-s2.0-0041034794
112,112,2-s2.0-3042640043
113,113,2-s2.0-0034635405
116,116,2-s2.0-0342313511
117,117,2-s2.0-8644220517
119,119,2-s2.0-85066224145
120,120,2-s2.0-85050965446
122,122,2-s2.0-85024001305
123,123,2-s2.0-85023825286
124,124,2-s2.0-85023485385
133,133,2-s2.0-84993769373
134,134,2-s2.0-84992904524
136,136,2-s2.0-84990357490
139,139,2-s2.0-84965100236
140,140,2-s2.0-84952891351
141,141,2-s2.0-84950110067
142,142,2-s2.0-84949789649
143,143,2-s2.0-84949673149
144,144,2-s2.0-84944075145
151,151,2-s2.0-84871590639
153,153,2-s2.0-84867297329
154,154,2-s2.0-77951276094
157,157,2-s2.0-5644280460
158,158,2-s2.0-53949124323
161,161,2-s2.0-52849125488
162,162,2-s2.0-52849118952
163,163,2-s2.0-50849108878
165,165,2-s2.0-4544259846
166,166,2-s2.0-35649002265
171,171,2-s2.0-33750307968
174,174,2-s2.0-3042575151
176,176,2-s2.0-3042533569
177,177,2-s2.0-29444456229
179,179,2-s2.0-24944517592
182,182,2-s2.0-24044474205
185,185,2-s2.0-23044523455
187,187,2-s2.0-23044519525
190,190,2-s2.0-22844457285
191,191,2-s2.0-22844454265
193,193,2-s2.0-22844453632
196,196,2-s2.0-22844453364
197,197,2-s2.0-19544377644
198,198,2-s2.0-19544376291
201,201,2-s2.0-17144475157
205,205,2-s2.0-0346115258
206,206,2-s2.0-0345985087
208,208,2-s2.0-0242619753
217,217,2-s2.0-0041684689
219,219,2-s2.0-0039925209
220,220,2-s2.0-0039923264
222,222,2-s2.0-0038778883
223,223,2-s2.0-0038286442
229,229,2-s2.0-0034612674
230,230,2-s2.0-0034584371
233,233,2-s2.0-0034546995
234,234,2-s2.0-0034543311
238,238,2-s2.0-0034367117
242,242,2-s2.0-0034345634
243,243,2-s2.0-0034344786
244,244,2-s2.0-0034343126
245,245,2-s2.0-0034342062
248,248,2-s2.0-0034326426
249,249,2-s2.0-0034280406
251,251,2-s2.0-0034203611
252,252,2-s2.0-0034203418
253,253,2-s2.0-0034203231
254,254,2-s2.0-0034199435
255,255,2-s2.0-0034196474
257,257,2-s2.0-0034166549
259,259,2-s2.0-0034131542
260,260,2-s2.0-0034106469
262,262,2-s2.0-0034046001
267,267,2-s2.0-0033976638
268,268,2-s2.0-0033923496
269,269,2-s2.0-0033922031
271,271,2-s2.0-0033900007
273,273,2-s2.0-0033877154
276,276,2-s2.0-0033854629
278,278,2-s2.0-0033803914
279,279,2-s2.0-0033760724
280,280,2-s2.0-0033760654
284,284,2-s2.0-0033740017
286,286,2-s2.0-0033688114
287,287,2-s2.0-0033687064
288,288,2-s2.0-0033667271
289,289,2-s2.0-0033661305
297,297,2-s2.0-0011320397
300,300,2-s2.0-0008785257
301,301,2-s2.0-0005732953
302,302,2-s2.0-0003376326
304,304,2-s2.0-0000768851
306,306,2-s2.0-0035977440
310,310,2-s2.0-8744315776
312,312,2-s2.0-8744314577
316,316,2-s2.0-8744306815
318,318,2-s2.0-8744304593
320,320,2-s2.0-8744303615
322,322,2-s2.0-8744301797
325,325,2-s2.0-8744300688
326,326,2-s2.0-8744294007
327,327,2-s2.0-8744293337
328,328,2-s2.0-8744292840
329,329,2-s2.0-8744289910
332,332,2-s2.0-8744278318
333,333,2-s2.0-8744275607
334,334,2-s2.0-8744275101
335,335,2-s2.0-8744275073
336,336,2-s2.0-8744273767
337,337,2-s2.0-8744272666
340,340,2-s2.0-8744262131
342,342,2-s2.0-8744258519
343,343,2-s2.0-8744256844
344,344,2-s2.0-8744256388
